affiliation_id,affiliation_name,affiliation_country
9507,sangji university,South Korea
19722,ateneo de manila university,Philippines
41870,instituto militar de engenharia,Brazil
43886,sapientia university,Romania
46017,kahramanmaras sutcu imam university,Turkey
47844,al akhawayn university,Morocco
52325,oswaldo cruz foundation,Brazil
80043,curie institute,France
95127,sorenson molecular genealogy foundation,United States
164828,sematech,United States
189835,ericsson mobile platforms,Sweden
215927,university of madras,India
226432,universiti malaysia kelantan,Malaysia
241749,university of cambridge,United Kingdom
251738,edinburgh napier university,United Kingdom
280915,miami project to cure paralysis,United States
280994,king george s medical university,India
308837,suzhou university of science and technology,China
310553,tohoku gakuin university,Japan
324100,bowie state university,United States
354108,minjiang university,China
365282,albany college of pharmacy and health sciences,United States
376102,agricultural research organization volcani center,Israel
391668,cheju halla university,South Korea
392282,university at albany suny,United States
430192,appalachian state university,United States
430641,united states air force academy,United States
443798,national defense academy of japan,Japan
454632,hella,Germany
464993,barkatullah university,India
505182,national textile university,Pakistan
530967,ryerson university,Canada
592451,indiana university,United States
617233,university of san carlos,Philippines
629287,simon bolivar university,Venezuela
662221,trent university,Canada
675453,vorarlberg university of applied sciences,Austria
686019,agh university of science and technology,Poland
708430,university of la verne,United States
721619,benemerita universidad autonoma de puebla,Mexico
734295,harbor branch oceanographic institute,United States
746986,halmstad university,Sweden
761543,south colombian university,Colombia
808010,university of worcester,United Kingdom
814099,ivoclar vivadent,Liechtenstein
848706,sungkyunkwan university,South Korea
899646,punjab agricultural university,India
909555,ses s a,Luxembourg
967637,gannon university,United States
992397,university of boras,Sweden
1049131,tung fang design institute,Taiwan
1099802,shenyang medical college,China
1102219,tarumanagara university,Indonesia
1118541,university of east anglia,United Kingdom
1137423,aea,United States
1141210,indian agricultural statistics research institute,India
1174212,university of southern california,United States
1175298,randolph college,United States
1183665,softwin,Romania
1187138,razi university,Iran
1192164,federal counterintelligence service,Russia
1196224,southern nazarene university,United States
1245340,mitsubishi heavy industries,Japan
1351752,koc university,Turkey
1354457,colorado mesa university,United States
1355163,sinai university,Egypt
1456306,north china university of technology,China
1516879,tarbiat modares university,Iran
1561573,b p poddar institute of management technology,India
1629065,central michigan university,United States
1636034,dr reddy s laboratories,India
1648549,university of zulia,Venezuela
1662191,university of puerto rico rio piedras,United States
1745920,university of wisconsin platteville,United States
1793135,yanbian university,China
1850255,university of basel,Switzerland
1877545,caritas institute of higher education,Hong Kong
1902872,institut eurecom,France
1921588,university of wisconsin stout,United States
1922660,ge transportation,United States
1925986,loyola university chicago,United States
1947432,carma,Ireland
1953827,university of colombo school of computing,Sri Lanka
1966735,gunma prefectural women s university,Japan
1971141,kolling institute of medical research,Australia
2087004,ipg photonics,United States
2132711,kutztown university of pennsylvania,United States
2135383,escuela superior politecnica del litoral,Ecuador
2149775,center for complex systems and brain sciences,United States
2184545,cajal institute,Spain
2220210,amity school of engineering technology,India
2276074,lawrence technological university,United States
2293663,governors state university,United States
2302801,samsung economic research institute,South Korea
2321252,hiroshima kokusai gakuin university,Japan
2388115,japan atomic energy research institute,Japan
2394712,tohoku university of art and design,Japan
2419132,lessius mechelen,Belgium
2474785,canadian imperial bank of commerce,Canada
2534966,patna university,India
2539912,north east university,Bangladesh
2540865,institut francais,France
2592186,cheung kong graduate school of business,China
2610724,chemnitz university of technology,Germany
2613432,university of south florida,United States
2653708,chittagong medical college hospital,Bangladesh
2656126,university of havana,Cuba
2657118,vasavi college of engineering,India
2699952,pontifical catholic university of rio de janeiro,Brazil
2722730,inner mongolia university,China
2781204,katwa college,India
2785411,institute for materials research,Japan
2801145,manav rachna college of engineering,India
2818286,lg electronics,South Korea
2898894,liaoning university of technology,China
2971882,taisho university,Japan
3051456,institute of developing economies,Japan
3089115,egyptian atomic energy authority,Egypt
3150213,intuitive surgical,United States
3283852,thomas college,United States
