affiliation_id,affiliation_name,affiliation_country
1333373061,faculty of electrical engineering mechanical engineering and naval architecture university of split,Croatia
94861195,ecole nationale superieure d informatique et de mathematiques appliquees de grenoble,France
131077856,centre de cooperation internationale en recherche agronomique pour le developpement,France
173089394,saint petersburg state university of information technologies mechanics and optics,Russia
890469752,ministry of industry and information technology of the people s republic of china,China
106437751,gradiant galician research and development center in advanced telecommunications,Spain
1315959041,united states army tank automotive research development and engineering center,United States
207223250,indian institute of information technology design and manufacturing jabalpur,India
97325698,ecole nationale superieure d electronique et de radioelectricite de grenoble,France
39244652,indian institute of information technology design manufacturing kancheepuram,India
157349981,state university of new york college of environmental science and forestry,United States
157282193,institute of molecular pathology and immunology of the university of porto,Portugal
1305868803,department of sustainability environment water population and communities,Australia
155302661,united nations university international institute for software technology,China
100905697,university institute of engineering and technology kurukshetra university,India
161045824,avinashilingam institute for home science and higher education for women,India
22798298,school of electrical and electronic engineering university of manchester,United Kingdom
201260620,department of computer science and engineering jahangirnagar university,Bangladesh
145003942,united states army armament research development and engineering center,United States
1323276237,florida a m university florida state university college of engineering,United States
204710742,ministry of environmental protection of the people s republic of china,China
181126503,ambedkar institute of advanced communication technologies and research,India
149404039,rajiv gandhi college of engineering research and technology chandrapur,India
98389781,dhirubhai ambani institute of information and communication technology,India
58944354,ecole nationale superieure d ingenieurs de constructions aeronautiques,France
35199547,faculty of information technology university d?emal bijedic of mostar,Bosnia and Herzegovina
28700744,national institute of science communication and information resources,India
270441400,rio de janeiro federal institute of education science and technology,Brazil
176364128,university institute of engineering and technology panjab university,India
123062419,faculty of electrical engineering and computing university of zagreb,Croatia
95562310,school of electronics and computer science university of southampton,United Kingdom
71965090,university of information science and technology st paul the apostle,Macedonia
47403697,santa catarina federal institute of education science and technology,Brazil
1280259254,henry m jackson foundation for the advancement of military medicine,United States
181254058,northeastern university college of computer and information science,United States
132877587,bangabandhu sheikh mujibur rahman science and technology university,Bangladesh
103114056,university of maryland marlene and stewart greenebaum cancer center,United States
86175216,ecole nationale superieure de l electronique et de ses applications,France
914955140,monterrey institute of technology and higher education mexico city,Mexico
199072309,institut national de recherche sur les transports et leur securite,France
116268893,brazilian institute of environment and renewable natural resources,Brazil
112538945,monterrey institute of technology and higher education guadalajara,Mexico
58048189,shahid beheshti university of medical sciences and health services,Iran
53927764,centro de investigacion y desarrollo tecnologico en electroquimica,Mexico
5400463,ghulam ishaq khan institute of engineering sciences and technology,Pakistan
1317358082,institut de recherche en communications et cybernetique de nantes,France
280940117,monash university faculty of medicine nursing and health sciences,Australia
223959643,sam higginbottom institute of agriculture technology and sciences,India
208086522,national university of life and environmental sciences of ukraine,Ukraine
202376891,sarhad university of science it ring road hayatabad link peshawar,Pakistan
169165537,faculdade de ciencias e tecnologia da universidade nova de lisboa,Portugal
122608901,monterrey institute of technology and higher education cuernavaca,Mexico
114778606,city college international faculty of the university of sheffield,United Kingdom
85920734,banat university of agricultural sciences and veterinary medicine,Romania
52607266,university of north dakota school of medicine and health sciences,United States
9747756,indian institute of information technology and management gwalior,India
1326498283,french institute for research in computer science and automation,France
1291567583,comision nacional para el conocimiento y uso de la biodiversidad,Mexico
870083634,national operating committee on standards for athletic equipment,United States
211433327,ministry of land and resources of the people s republic of china,China
190032430,state university of library studies and information technologies,Bulgaria
102541696,perunthalaivar kamarajar institute of engineering and technology,India
79211490,sharif university of technology international campus kish island,Iran
73613424,national institute of advanced industrial science and technology,Japan
68695296,indian institute of information technology and management kerala,India
67633692,ecole nationale superieure d ingenieurs electriciens de grenoble,France
56441308,libera universita internazionale degli studi sociali guido carli,Italy
48025715,international crops research institute for the semi arid tropics,India
34275845,shri guru gobind singhji institute of engineering and technology,India
24254649,national university corporation tsukuba university of technology,Japan
14701112,monterrey institute of technology and higher education queretaro,Mexico
13082067,international institute of earthquake engineering and seismology,Iran
178855995,purdue university school of electrical and computer engineering,United States
146585940,penn state great valley school of graduate professional studies,United States
142859060,institute of cosmology and gravitation university of portsmouth,United Kingdom
126688049,the dartmouth institute for health policy and clinical practice,United States
121067369,united states army research institute of environmental medicine,United States
118727347,institute for applied information processing and communications,Austria
114376631,tomsk state university of control systems and radio electronics,Russia
107371206,sao paulo federal institute of education science and technology,Brazil
90023481,national institute of information and communications technology,Japan
71824836,swiss federal laboratories for materials science and technology,Switzerland
36448004,shaheed zulfiqar ali bhutto institute of science and technology,Pakistan
7452641,belarusian state university of informatics and radioelectronics,Belarus
1308403363,commissariat a l energie atomique et aux energies alternatives,France
221829861,dhaneswar rath institute of engineering and management studies,India
198645480,north china university of water conservancy and electric power,China
158509141,centro federal de educacao tecnologica celso suckow da fonseca,Brazil
155832436,faculty of humanities and social sciences university of zagreb,Croatia
130523015,saint petersburg state university of aerospace instrumentation,Russia
99121787,macdiarmid institute for advanced materials and nanotechnology,New Zealand
98365261,indian institute of engineering science and technology shibpur,India
91080651,international centre for genetic engineering and biotechnology,India
1287642686,national science and technology center for disaster reduction,Taiwan
1286907093,international association of machinists and aerospace workers,United States
896072570,coordenadoria de aperfeicoamento de pessoal de nivel superior,Brazil
180013608,center for international blood and marrow transplant research,United States
168819179,h milton stewart school of industrial and systems engineering,United States
109289231,national kaohsiung first university of science and technology,Taiwan
97753087,new energy and industrial technology development organization,Japan
79662898,ecole nationale superieure des telecommunications de bretagne,France
77990126,alexander technological educational institute of thessaloniki,Greece
65146876,quaid e awam university of engineering science and technology,Pakistan
11385950,national council for scientific and technological development,Brazil
1341786212,indian ministry of communications and information technology,India
1327693674,central manchester university hospitals nhs foundation trust,United Kingdom
1315336074,national collegiate scouting association athletic recruiting,United States
1292875679,commonwealth scientific and industrial research organisation,Australia
161675122,cooperative institute for research in environmental sciences,United States
150312865,institute for development and research in banking technology,India
147482076,instituto potosino de investigacion cientifica y tecnologica,Mexico
145723888,university of wisconsin school of medicine and public health,United States
119092355,national institute on disability and rehabilitation research,United States
102235749,university of manchester institute of science and technology,United Kingdom
64663401,ensenada center for scientific research and higher education,Mexico
29796688,consiglio per la ricerca e la sperimentazione in agricoltura,Italy
11193315,instituto superior de contabilidade e administracao do porto,Portugal
1332092204,thailand national science and technology development agency,Thailand
1328670610,faculty of engineering aristotle university of thessaloniki,Greece
1290491151,south korean ministry for health welfare and family affairs,South Korea
905225518,shanghai university of international business and economics,China
877050739,nato communications and information systems services agency,Belgium
301857485,drexel university college of nursing and health professions,United States
246648437,shri govindram seksaria institute of technology and science,India
207665057,eppley institute for research in cancer and allied diseases,United States
181514455,international institute of information technology bangalore,India
148348395,department of computer engineering university of peradeniya,Sri Lanka
146617529,hong kong applied science and technology research institute,Hong Kong
64189192,international institute of information technology hyderabad,India
56497154,korea university college of life sciences and biotechnology,South Korea
26604472,faculty of medicine ramathibodi hospital mahidol university,Thailand
1329260355,school of aeronautics and astronautics zhejiang university,China
913971997,institute of cost and management accountants of bangladesh,Bangladesh
253188195,deenbandhu chhotu ram university of science and technology,India
230842804,national taiwan university of physical education and sport,Taiwan
206562644,gokaraju rangaraju institute of engineering and technology,India
194601409,cooperative institute for mesoscale meteorological studies,United States
180717893,nust school of electrical engineering and computer science,Pakistan
171246369,ecole nationale superieure de mecanique et d aerotechnique,France
166580119,indian institute of social welfare and business management,India
160302567,north eastern regional institute of science and technology,India
155419210,islamic azad university science and research branch tehran,Iran
153241194,vnr vignana jyothi institute of engineering and technology,India
127439422,indian institute of science education and research kolkata,India
126419005,european organisation for research and treatment of cancer,Belgium
115488153,institute of applied physics and computational mathematics,China
108237880,institute of bioinformatics and applied biotechnology ibab,India
102318573,dibner institute for the history of science and technology,United States
85691676,georgia institute of technology school of computer science,United States
70971781,dr b r ambedkar national institute of technology jalandhar,India
67155064,cooperative institute for meteorological satellite studies,United States
35777872,north carolina agricultural and technical state university,United States
25649571,shenzhen graduate school of harbin institute of technology,China
16655442,faculdade de filosofia ciencias e letras de ribeirao preto,Brazil
1318242428,united states department of housing and urban development,United States
875251973,universidad catolica del uruguay damaso antonio larranaga,Uruguay
288749910,indian institute of science education and research bhopal,India
188700360,university of occupational and environmental health japan,Japan
180810085,technological educational institute of the ionian islands,Greece
170828890,centro de estudios e investigaciones tecnicas de gipuzkoa,Spain
170486157,mta sztaki laboratory of parallel and distributed systems,Hungary
162346809,institut national des langues et civilisations orientales,France
143927212,shri shankaracharya college of engineering and technology,India
134363262,universidade federal de ciencias da saude de porto alegre,Brazil
99957693,australian radiation protection and nuclear safety agency,Australia
88179191,strathclyde institute of pharmacy and biomedical sciences,United Kingdom
63664421,swiss federal institute of aquatic science and technology,Switzerland
45294948,post graduate institute of medical education and research,India
42014448,sardar vallabhbhai national institute of technology surat,India
39824353,national institute of astrophysics optics and electronics,Mexico
39822340,virginia maryland regional college of veterinary medicine,United States
29105353,penn state college of information sciences and technology,United States
6446798,obihiro university of agriculture and veterinary medicine,Japan
